phase,field,summary,T32,T64,T128,T32_T64_difference,T64_T128_difference,gate,gate_applicable,passed_T64_T128
1.0,endocardial_displacement,normalized_l2,,,,0.8459609339263467,0.8768876700568742,0.05,False,
1.0,endocardial_displacement,absolute_p95,9.975166296334374e-08,1.4588816623681993e-08,2.3149403715819135e-09,0.8537486374633874,0.8413208945388979,0.05,False,
1.0,jelly_endocardium_normal_traction,normalized_l2,,,,0.003294565395416431,0.0016091533957673892,0.05,True,True
1.0,jelly_endocardium_normal_traction,absolute_p95,3.052811144294176e-06,3.0617096612951017e-06,3.0669090323811254e-06,0.0029063882553650735,0.0016953131087774635,0.05,True,True
1.0,jelly_endocardium_tangential_traction,normalized_l2,,,,0.002866171455531516,0.0013602218859760508,0.05,True,True
1.0,jelly_endocardium_tangential_traction,absolute_p95,0.0003635445746557709,0.00036461839565689867,0.0003651343774461597,0.002945054374432036,0.0014131284840116585,0.05,True,True
1.0,jelly_endocardium_traction_magnitude,normalized_l2,,,,0.0029221980551995884,0.0013929988698366772,0.05,True,True
1.0,jelly_endocardium_traction_magnitude,absolute_p95,0.00041233820758886894,0.0004136533542975385,0.00041429771959444186,0.0031793449636179955,0.0015553194392045513,0.05,True,True
1.0,myocyte_displacement,normalized_l2,,,,0.8258910621000081,0.7840059287217278,0.05,False,
1.0,myocyte_displacement,absolute_p95,2.8740171673156066e-09,4.997696652589595e-10,1.0950735935772918e-10,0.8261076270028842,0.7808843413875728,0.05,False,
1.0,myocyte_jelly_normal_traction,normalized_l2,,,,0.003185542159707047,0.0015544287432672694,0.05,True,True
1.0,myocyte_jelly_normal_traction,absolute_p95,5.552943254920994e-05,5.566321263320176e-05,5.570368635680134e-05,0.0024033841681646837,0.0007265896791880387,0.05,True,True
1.0,myocyte_jelly_tangential_traction,normalized_l2,,,,0.0030490718708541973,0.0014817552816805376,0.05,True,True
1.0,myocyte_jelly_tangential_traction,absolute_p95,0.0023163731680338933,0.0023234399612362083,0.0023268807937482346,0.003041521760930328,0.0014787317516526707,0.05,True,True
1.0,myocyte_jelly_traction_magnitude,normalized_l2,,,,0.0030498585901926147,0.0014821609485032616,0.05,True,True
1.0,myocyte_jelly_traction_magnitude,absolute_p95,0.0023163731680338937,0.0023234399612362083,0.002326880793748234,0.003041521760930141,0.0014787317516524847,0.05,True,True
