phase,field,summary,T16,T32,T64,T16_T32_difference,T32_T64_difference,gate,passed_T32_T64
0.5,myocyte_displacement,normalized_l2,,,,3.807593792040501e-06,1.8119412965874411e-06,0.05,True
0.5,myocyte_displacement,absolute_p95,0.07193558005203886,0.07193513246043477,0.07193491811356183,6.2221171187055765e-06,2.9797244491529645e-06,0.05,True
0.5,myocyte_jelly_normal_traction,normalized_l2,,,,0.0002281449662164218,0.0001227534189367405,0.05,True
0.5,myocyte_jelly_normal_traction,absolute_p95,0.02466136713116635,0.024664460293118508,0.024666338615672672,0.00012540967511144664,7.614922439160745e-05,0.05,True
0.5,myocyte_jelly_tangential_traction,normalized_l2,,,,0.00012319104293625428,7.033570727614941e-05,0.05,True
0.5,myocyte_jelly_tangential_traction,absolute_p95,0.08931669951452835,0.08932686907096622,0.08933267085542645,0.00011384655640166967,6.494583006056155e-05,0.05,True
0.5,myocyte_jelly_traction_magnitude,normalized_l2,,,,0.00012589644281236253,7.169075058185405e-05,0.05,True
0.5,myocyte_jelly_traction_magnitude,absolute_p95,0.09256656495293612,0.09257719292382612,0.09258324325175808,0.00011480117893331912,6.535014025717784e-05,0.05,True
0.75,ecm_displacement,normalized_l2,,,,0.0010092553102049877,0.00048445057663093884,0.05,True
0.75,ecm_displacement,absolute_p95,0.010947420619030335,0.01094766103303094,0.010947432546253614,2.1960307309440017e-05,2.0870830457490774e-05,0.05,True
0.75,ecm_dissipation_density,normalized_l2,,,,0.0881366016261173,0.015907522395459724,0.05,True
0.75,ecm_dissipation_density,absolute_p95,3.1083393555043575e-08,3.379762262404062e-08,3.4379400673122235e-08,0.08030828378639815,0.01692228595294998,0.05,True
0.75,ecm_equilibrium_energy_density,normalized_l2,,,,0.0006035594294085835,0.00011896842557200368,0.05,True
0.75,ecm_equilibrium_energy_density,absolute_p95,0.0003052833287161455,0.0003055044583019525,0.0003055479815435494,0.0007238178684398596,0.0001424432306082292,0.05,True
0.75,ecm_internal_z,normalized_l2,,,,0.0016242073029178613,0.0003253279373537803,0.05,True
0.75,ecm_internal_z,absolute_p95,0.018425482336551644,0.018449356152468874,0.018454503119984818,0.001294018919681134,0.0002789003574075967,0.05,True
0.75,ecm_jacobian,normalized_l2,,,,1.4667656061162603e-07,3.685675975265561e-08,0.05,True
0.75,ecm_jacobian,absolute_p95,1.001690145565036,1.0016902706755861,1.0016903268478439,1.2489943628752833e-07,5.6077468483595875e-08,0.05,True
0.75,ecm_max_principal_cauchy_stress,normalized_l2,,,,0.00012067042650105361,3.072129323463063e-05,0.05,True
0.75,ecm_max_principal_cauchy_stress,absolute_p95,0.05407954653004306,0.05407846883242364,0.05407877803131362,1.9928007695423837e-05,5.7175642873954465e-06,0.05,True
0.75,ecm_max_principal_green_lagrange_strain,normalized_l2,,,,0.00046559409863016887,9.090407467905387e-05,0.05,True
0.75,ecm_max_principal_green_lagrange_strain,absolute_p95,0.008196482815871816,0.00819966888181595,0.008200267789776764,0.0003885603175025692,7.303517106600501e-05,0.05,True
0.75,ecm_viscoelastic_energy_density,normalized_l2,,,,0.10114082016852059,0.023123866210728636,0.05,True
0.75,ecm_viscoelastic_energy_density,absolute_p95,3.01246064473002e-08,3.327296210696172e-08,3.411168455316867e-08,0.09462204325363599,0.02458754110778845,0.05,True
0.75,endocardial_displacement,normalized_l2,,,,0.000900137563067269,0.0004184718613937422,0.05,True
0.75,endocardial_displacement,absolute_p95,0.00709992646559627,0.007105322950597667,0.007107791014190715,0.0007594989051051014,0.0003472335621742766,0.05,True
0.75,jelly_endocardium_normal_traction,normalized_l2,,,,9.854060276844476e-05,4.5623837788498684e-05,0.05,True
0.75,jelly_endocardium_normal_traction,absolute_p95,1.5023870526981887e-05,1.5033033718555644e-05,1.503312099906792e-05,0.0006095370864795393,5.8058810464097935e-06,0.05,True
0.75,jelly_endocardium_tangential_traction,normalized_l2,,,,0.0005245173755229306,8.614246853622832e-05,0.05,True
0.75,jelly_endocardium_tangential_traction,absolute_p95,0.0013552715305078095,0.0013559475865825858,0.0013560681377021641,0.0004985856986406275,8.889753857248564e-05,0.05,True
0.75,jelly_endocardium_traction_magnitude,normalized_l2,,,,0.0004251722475918715,7.477485653140174e-05,0.05,True
0.75,jelly_endocardium_traction_magnitude,absolute_p95,0.0014413118997964015,0.0014419774931846137,0.0014420973075208847,0.00046158375658294945,8.308339225523244e-05,0.05,True
0.75,myocyte_displacement,normalized_l2,,,,4.084245900291479e-06,1.9848271308012876e-06,0.05,True
0.75,myocyte_displacement,absolute_p95,0.03860820624214,0.038607961959091094,0.03860784214367237,6.327231246515109e-06,3.103386261423665e-06,0.05,True
0.75,myocyte_jelly_normal_traction,normalized_l2,,,,0.00017176784719207487,4.225508547465018e-05,0.05,True
0.75,myocyte_jelly_normal_traction,absolute_p95,0.006707524020106379,0.006706704815942203,0.006706566627007843,0.0001221321253148517,2.0604594678330784e-05,0.05,True
0.75,myocyte_jelly_tangential_traction,normalized_l2,,,,8.426455700500083e-05,1.6914258091142077e-05,0.05,True
